,testid,timestamp,interval,t_building,t_floor,t_x,t_y,beacon_id,b_major,b_minor,b_floor,b_x,b_y,shapiro,mean,dev
24,18,0000-01-01 00:00:00,0,31,1.0,7.017328999999999,22.344445999999998,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.059931814670562744,-86.8,4.874423042781576
25,19,0000-01-01 00:00:00,0,31,1.0,13.69423,19.690895,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,7.521058432757854e-05,-87.66666666666667,6.018490028422596
26,19,0000-01-01 00:00:00,0,31,1.0,13.69423,19.690895,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.009710276499390602,-92.5,5.220153254455275
27,20,0000-01-01 00:00:00,0,31,1.0,15.196532999999999,16.373955,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.035659994930028915,-90.4,3.440930106817051
28,20,0000-01-01 00:00:00,0,31,1.0,15.196532999999999,16.373955,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.18442007899284363,-91.4090909090909,3.7131105669835134
29,20,0000-01-01 00:00:00,0,31,1.0,15.196532999999999,16.373955,A0:E6:F8:69:9C:00,1000,594,1.0,29.384043845699672,43.593132591802295,0.7090255618095398,-98.4,1.4966629547095764
30,20,0000-01-01 00:00:00,0,31,1.0,15.196532999999999,16.373955,A0:E6:F8:69:F9:CE,1000,541,1.0,29.260466244656378,9.09139753922206,0.27465835213661194,-91.07142857142857,3.369278975734501
31,20,0000-01-01 00:00:00,0,31,1.0,15.196532999999999,16.373955,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.020167633891105652,-92.36363636363636,7.498760228109556
32,20,0000-01-01 00:00:00,0,31,1.0,15.196532999999999,16.373955,A0:E6:F8:69:F9:DD,1000,569,2.0,7.6902480602030305,22.942882404540125,0.0005517538520507514,-99.26666666666667,2.644911256650316
33,21,0000-01-01 00:00:00,0,31,1.0,22.874968,15.931693,A0:E6:F8:69:F9:CE,1000,541,1.0,29.260466244656378,9.09139753922206,0.09354753792285919,-88.91304347826087,1.8157054798105305
34,21,0000-01-01 00:00:00,0,31,1.0,22.874968,15.931693,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.5161232948303223,-99.7,1.7349351572897473
35,21,0000-01-01 00:00:00,0,31,1.0,22.874968,15.931693,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.0091642364859581,-83.70588235294117,3.0051858292811295
36,21,0000-01-01 00:00:00,0,31,1.0,22.874968,15.931693,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.061697106808423996,-94.78571428571429,2.110469528956308
37,21,0000-01-01 00:00:00,0,31,1.0,22.874968,15.931693,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.22599400579929352,-95.25,3.61420807370024
