Unnamed: 0,b_major,b_minor,t_building,t_floor,interval,rssi,testid,timestamp,t_x,t_y,beacon_id,b_floor,b_x,b_y,t_pos,t_num
115,1000,573,31,1,5,-78,1-9,2019-06-05 15:28:51,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,9
116,1000,531,31,1,5,-68,1-9,2019-06-05 15:28:51,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,9
117,1000,541,31,1,5,-91,1-9,2019-06-05 15:28:51,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,9
118,1000,594,31,1,5,-83,1-9,2019-06-05 15:28:52,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,9
119,1000,531,31,1,5,-69,1-10,2019-06-05 15:28:57,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,10
120,1000,514,31,1,5,-77,1-10,2019-06-05 15:28:57,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,10
121,1000,575,31,1,5,-88,1-10,2019-06-05 15:28:57,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,10
122,1000,541,31,1,5,-93,1-10,2019-06-05 15:28:58,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,10
123,1000,594,31,1,5,-83,1-10,2019-06-05 15:28:58,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,10
124,1000,575,31,1,5,-88,1-10,2019-06-05 15:28:58,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,10
125,1000,573,31,1,5,-78,1-10,2019-06-05 15:28:59,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,10
126,1000,531,31,1,5,-68,1-10,2019-06-05 15:28:59,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,10
127,1000,514,31,1,5,-76,1-10,2019-06-05 15:28:59,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,10
128,1000,573,31,1,5,-78,1-10,2019-06-05 15:29:00,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,10
129,1000,594,31,1,5,-84,1-10,2019-06-05 15:29:00,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,10
130,1000,531,31,1,5,-69,1-10,2019-06-05 15:29:00,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,10
131,1000,514,31,1,5,-77,1-10,2019-06-05 15:29:01,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,10
132,1000,541,31,1,5,-93,1-10,2019-06-05 15:29:01,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,10
133,1000,573,31,1,5,-78,1-10,2019-06-05 15:29:01,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,10
134,1000,594,31,1,5,-85,1-10,2019-06-05 15:29:02,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,10
135,1000,531,31,1,5,-69,1-10,2019-06-05 15:29:02,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,10
136,1000,541,31,1,5,-94,1-11,2019-06-05 15:29:07,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,11
137,1000,531,31,1,5,-69,1-11,2019-06-05 15:29:07,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,11
138,1000,594,31,1,5,-83,1-11,2019-06-05 15:29:07,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,11
139,1000,573,31,1,5,-77,1-11,2019-06-05 15:29:08,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,11
140,1000,594,31,1,5,-83,1-11,2019-06-05 15:29:08,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,11
141,1000,514,31,1,5,-78,1-11,2019-06-05 15:29:09,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,11
142,1000,575,31,1,5,-89,1-11,2019-06-05 15:29:09,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,11
143,1000,573,31,1,5,-78,1-11,2019-06-05 15:29:09,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,11
144,1000,594,31,1,5,-83,1-11,2019-06-05 15:29:10,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,11
145,1000,531,31,1,5,-68,1-11,2019-06-05 15:29:10,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,11
146,1000,575,31,1,5,-87,1-11,2019-06-05 15:29:10,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,11
147,1000,573,31,1,5,-77,1-11,2019-06-05 15:29:11,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,11
148,1000,594,31,1,5,-86,1-11,2019-06-05 15:29:11,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,11
149,1000,531,31,1,5,-68,1-11,2019-06-05 15:29:11,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,11
150,1000,514,31,1,5,-77,1-11,2019-06-05 15:29:12,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,11
151,1000,541,31,1,5,-93,1-12,2019-06-05 15:29:16,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,12
152,1000,531,31,1,5,-68,1-12,2019-06-05 15:29:17,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,12
153,1000,514,31,1,5,-73,1-12,2019-06-05 15:29:17,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,12
154,1000,575,31,1,5,-86,1-12,2019-06-05 15:29:18,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,12
155,1000,594,31,1,5,-83,1-12,2019-06-05 15:29:18,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,12
156,1000,541,31,1,5,-92,1-12,2019-06-05 15:29:18,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,12
157,1000,573,31,1,5,-78,1-12,2019-06-05 15:29:19,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,12
158,1000,575,31,1,5,-86,1-12,2019-06-05 15:29:19,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,12
159,1000,573,31,1,5,-79,1-12,2019-06-05 15:29:19,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,12
160,1000,594,31,1,5,-83,1-12,2019-06-05 15:29:19,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,12
161,1000,575,31,1,5,-86,1-13,2019-06-05 15:29:24,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,13
162,1000,594,31,1,5,-84,1-13,2019-06-05 15:29:25,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,13
